document_id,document_name,document_source_url,document_content_type,document_md5_sum,translated,has_valid_text,author,geography_iso,types,date,author_is_party,collection_id,family_id,family_name,family_slug,role,variant,status,num_text_blocks,num_pages
UNFCCC.party.1417.0,Thailand First NDC (Updated submission),https://unfccc.int/sites/default/files/NDC/2022-06/Thailand%20Updated%20NDC.pdf,application/pdf,aca5b77c3788fae98bcf1fbf91281d7c,False,True,['Thailand'],THA,['Nationally Determined Contribution'],2020-10-26,True,,UNFCCC.family.1417.0,Thailand First NDC (Updated submission),thailand-first-ndc-updated-submission_f742,,,,49,8
UNFCCC.party.1466.0,Togo. National inventory report.,https://unfccc.int/sites/default/files/resource/Togo-BUR1-NIR.pdf,application/pdf,d58a2bfbc16854f64d232ff9f3059039,True,True,['Togo'],TGO,['National Inventory Report'],2017-09-27,True,,UNFCCC.family.1464.0,Togo. Biennial update report (BUR). BUR 1. National inventory report.,togo-biennial-update-report-bur-bur-1-national-inventory-report_6fea,,,,1096,190
UNFCCC.party.82.0,Australia. National Communication (NC). NC 8. Biennial Reports (BR). BR 5.,https://unfccc.int/sites/default/files/resource/NatComm8%20Biennial%20Statement_2022_v8%2021%20Dec.pdf,application/pdf,7a2e6b5f59e9937a3a1cb7bbe767eb8b,False,True,['Australia'],AUS,"['Biennial Report', 'National Communication']",2022-12-22,True,,UNFCCC.family.82.0,Australia. National Communication (NC). NC 8. Biennial Reports (BR). BR 5.,australia-national-communication-nc-nc-8-biennial-reports-br-br-5_8825,,,,3981,411
UNFCCC.party.1080.0,Rwanda First NDC (Archived),https://unfccc.int/sites/default/files/NDC/2022-06/INDC_Rwanda_Nov.2015.pdf,application/pdf,e925cba984cba10646bb7ef5ef8dee30,False,True,['Rwanda'],RWA,['Nationally Determined Contribution'],2016-10-06,True,,UNFCCC.family.1080.0,Rwanda First NDC (Archived),rwanda-first-ndc-archived_6217,,,,53,24
UNFCCC.party.1237.0,Submission by Slovenia and the European Commission on behalf of the European Union and its Member States. Adaptation Communication of the European Union,https://unfccc.int/sites/default/files/resource/20211007_EU_adaptation_comms.pdf,application/pdf,d3c0e9ca6ba70c59f4c972da20d2385b,False,True,"['European Commission', 'Slovenia']",XAB,['Adaptation Communication'],2021-10-07,True,,UNFCCC.family.1237.0,Submission by Slovenia and the European Commission on behalf of the European Union and its Member States. Adaptation Communication of the European Union,submission-by-slovenia-and-the-european-commission-on-behalf-of-the-european-union-and-its-member-states-adaptation-communication-of-the-european-union_a706,,,,265,23
UNFCCC.party.1566.0,Vanuatu First NDC (Archived),https://unfccc.int/sites/default/files/NDC/2022-06/VANUATU%20%20INDC%20UNFCCC%20Submission.pdf,application/pdf,1df81ed3249d2c4a4d9eb156dd11a913,False,True,['Vanuatu'],VUT,['Nationally Determined Contribution'],2016-09-21,True,,UNFCCC.family.1566.0,Vanuatu First NDC (Archived),vanuatu-first-ndc-archived_23bd,,,,51,11
UNFCCC.non-party.459.0,Facilitative sharing of view record 2 - Vietnam,https://unfccc.int/sites/default/files/resource/FSVR2_VNM.pdf,application/pdf,cfd77c41ae96a5e1fad7ba701fab2343,False,True,['UNFCCC Secretariat'],nan,['Facilitative Sharing of Views Report'],2019-08-08,False,,UNFCCC.family.459.0,Facilitative sharing of view record 2 - Vietnam,facilitative-sharing-of-view-record-2-vietnam_0811,,,,19,2
UNFCCC.party.878.0,National Inventory Report to BUR 1 Antigua and Barbuda,https://unfccc.int/sites/default/files/resource/Antigua%20and%20Barbuda%20-%20UNFCCC%20Biennial%20Update%20Report%201%20-%20Appendices.zip,,,True,False,['Antigua and Barbuda'],ATG,['National Inventory Report'],2020-03-03,True,,UNFCCC.family.878.0,National Inventory Report to BUR 1 Antigua and Barbuda,national-inventory-report-to-bur-1-antigua-and-barbuda_2fc1,,,,0,0
UNFCCC.party.710.0,Kiribati. National Communication (NC). NC 2.,https://unfccc.int/sites/default/files/resource/kirnc2.pdf,application/pdf,d927f13aa4295531058b9305af30aa8a,False,True,['Kiribati'],KIR,['National Communication'],2013-06-27,True,,UNFCCC.family.710.0,Kiribati. National Communication (NC). NC 2.,kiribati-national-communication-nc-nc-2_7a23,,,,2941,196
UNFCCC.non-party.1206.0,Cross-Chapter Box 9: Integrative Cross-Chapter Box on Low-lying Islands and Coasts,https://www.ipcc.ch/site/assets/uploads/sites/3/2019/11/11_SROCC_CCB9-LLIC_FINAL.pdf,application/pdf,744c2527080406b1d218a034f14c4e9d,False,True,['IPCC'],nan,['IPCC Report'],2019-09-01,False,,UNFCCC.family.1199.0,Special Report on the Ocean and Cryosphere in a Changing Climate,special-report-on-the-ocean-and-cryosphere-in-a-changing-climate_ad5c,,,,188,18
UNFCCC.non-party.886.0,Nationally determined contributions under the Paris Agreement. Revised note by the secretariat,https://unfccc.int/sites/default/files/resource/cma2021_08r01_R.pdf,application/pdf,08db0fb550265cd208a81d8599fd95dc,False,True,['UNFCCC Secretariat'],nan,['Pre-Session Document'],2021-10-25,False,,UNFCCC.family.883.0,Nationally determined contributions under the Paris Agreement. Revised note by the secretariat,nationally-determined-contributions-under-the-paris-agreement-revised-note-by-the-secretariat_2a9f,,,,354,43
UNFCCC.party.610.0,Iceland First NDC (Updated submission),https://unfccc.int/sites/default/files/NDC/2022-06/Iceland_updated_NDC_Submission_Feb_2021.pdf,application/pdf,65214cdc311bfa5fa94f3b445b59e92f,False,True,['Iceland'],ISL,['Nationally Determined Contribution'],2021-02-18,True,,UNFCCC.family.610.0,Iceland First NDC (Updated submission),iceland-first-ndc-updated-submission_2f85,,,,43,14
UNFCCC.party.141.0,Bhutan. National communication (NC). NC 3.,https://unfccc.int/sites/default/files/resource/TNC%20of%20Bhutan%202020.pdf,application/pdf,c3b804842e77374c155d0416c898b5cc,False,True,['Bhutan'],BTN,['National Communication'],2021-02-03,True,,UNFCCC.family.141.0,Bhutan. National communication (NC). NC 3.,bhutan-national-communication-nc-nc-3_a46a,,,,1433,182
UNFCCC.party.905.0,Nauru First NDC (Archived),https://unfccc.int/sites/default/files/NDC/2022-06/Nauru_NDC.pdf,application/pdf,fbcebfec745d636d5abcaeb5457c1958,False,True,['Nauru'],NRU,['Nationally Determined Contribution'],2016-04-07,True,,UNFCCC.family.905.0,Nauru First NDC (Archived),nauru-first-ndc-archived_4601,,,,61,9
UNFCCC.non-party.275.0,Annex V: Monsoons,https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_AnnexV.pdf,application/pdf,9d35800c5b77162ac8c935630c729061,False,True,['IPCC'],nan,['IPCC Report'],2021-08-01,False,,UNFCCC.family.270.0,Climate Change 2021: The Physical Science Basis,climate-change-2021-the-physical-science-basis_0ba0,,,,112,12
UNFCCC.non-party.524.0,FSV1 record - Uganda,https://unfccc.int/sites/default/files/resource/FSVR1_UGA.pdf,application/pdf,c8b2eb0f57588dfa772666341f67cd59,False,True,['UNFCCC Secretariat'],nan,['Facilitative Sharing of Views Report'],2021-08-25,False,,UNFCCC.family.524.0,FSV1 record - Uganda,fsv1-record-uganda_5d20,,,,34,4
UNFCCC.party.805.0,Matters Relating to the Global Stocktake referred to in Article 14 of the Paris Agreement: Submission by the Like-Minded Developing Countries - Second Meeting of the Technical Dialogue of the Technical Assessment of the First Global Stocktake,https://unfccc.int/sites/default/files/resource/202211101604---LMDC%20GST%20TD2%20Submission.pdf,application/pdf,e070970aabbda6b2af7ca53f6e5e7872,False,True,['Like-minded Developing Countries (LMDC)'],XAB,['Submission to the Global Stocktake'],2022-11-30,True,,UNFCCC.family.805.0,Matters Relating to the Global Stocktake referred to in Article 14 of the Paris Agreement: Submission by the Like-Minded Developing Countries - Second Meeting of the Technical Dialogue of the Technical Assessment of the First Global Stocktake,matters-relating-to-the-global-stocktake-referred-to-in-article-14-of-the-paris-agreement-submission-by-the-like-minded-developing-countries-second-meeting-of-the-technical-dialogue-of-the-technical-assessment-of-the-first-global-stocktake_8da8,,,,75,10
UNFCCC.party.966.0,Norway. 2021 National Inventory Report (NIR),https://unfccc.int/sites/default/files/resource/nor-2021-nir-15apr21.zip,,,True,False,['Norway'],NOR,['National Inventory Report'],2021-04-15,True,,UNFCCC.family.966.0,Norway. 2021 National Inventory Report (NIR),norway-2021-national-inventory-report-nir_84c1,,,,0,0
UNFCCC.party.866.0,Namibia First NDC (Archived),https://unfccc.int/sites/default/files/NDC/2022-06/INDC%20of%20Namibia%20Final%20pdf.pdf,application/pdf,9ac7fc1824746f0154f397b46944690f,False,True,['Namibia'],NAM,['Nationally Determined Contribution'],2016-09-21,True,,UNFCCC.family.866.0,Namibia First NDC (Archived),namibia-first-ndc-archived_4c39,,,,177,21
